id,slug,name,place_of_birth,brith_date,nationality,height,position,manager
155158,filip-bednarek,Filip Bednarek,Slupca,26.09.1992,Polska,1.88,Bramkarz,
207048,mickey-van-der-hart,,Amstelveen,13.06.1994,Holandia,1.88,Bramkarz,
179894,marko-malenica,,Nova Gradiska,8.02.1994,Chorwacja,1.93,Bramkarz,
554278,krzysztof-bakowski,Krzysztof Bakowski,Poznan,4.01.2003,Polska,1.90,Bramkarz,
168408,lubomir-satka,Lubomir Satka,Ilava,2.12.1995,Slowacja,1.88,Srodkowy obronca,
71019,bartosz-salamon,Bartosz Salamon,Poznan,1.05.1991,Polska,1.94,Srodkowy obronca,
179896,antonio-milic,Antonio Milic,Split,10.03.1994,Chorwacja,1.90,Srodkowy obronca,
307325,djordje-crnomarkovic,Djordje Tsrnomarkovitsh,Belgrad,10.09.1993,Serbia,1.88,Srodkowy obronca,
62086,thomas-pauck-rogne,,Baerum,29.06.1990,Norwegia,1.93,Srodkowy obronca,
291343,tomasz-dejewski,,Grudziadz,22.04.1995,Polska,1.91,Srodkowy obronca,ELITE GROUP
799321,patryk-walis,Patryk Walis,Kalisz,1.11.2003,Polska,1.93,Srodkowy obronca,
245048,vasyl-kravets,Kravets' Vasil' Ruslanovich,Lviv,20.08.1997,Ukraina,1.85,Lewy obronca,
554970,jakub-niewiadomski,,Kolo,9.04.2002,Polska,1.84,Lewy obronca,
698957,krystian-palacz,Krystian Palacz,Poznan,19.07.2003,Polska,1.80,Lewy obronca,
353826,robert-gumny,,Poznan,4.06.1998,Polska,1.82,Prawy obronca,
240756,alan-czerwinski,Alan Czerwinski,Olkusz,2.02.1993,Polska,1.81,Prawy obronca,BMG-SPORT
94922,bogdan-butko,Butko Bogdan Ievgenovich,"Kostyantynivka, ...",13.01.1991,Ukraina,1.82,Prawy obronca,ProStar
222855,jesper-karlstrom,Jesper Karlstrom,Stockholm,21.06.1995,Szwecja,1.85,Defensywny pomocnik,
150850,nika-kvekveskiri,nika kvekveskiri,Gali,29.05.1992,Gruzja,1.86,Defensywny pomocnik,
388042,karlo-muhar,,Zagreb,17.01.1996,Chorwacja,1.90,Defensywny pomocnik,Love Players
555057,antoni-kozubal,Antoni Kozubal,Krosno,18.08.2004,Polska,1.77,Defensywny pomocnik,
384461,jakub-moder,Jakub Piotr Moder,Szczecinek,7.04.1999,Polska,1.91,Srodkowy pomocnik,
167165,pedro-tiba,,Arcos de Valdevez,31.08.1988,Portugalia,1.74,Srodkowy pomocnik,
358873,tymoteusz-klups,Tymoteusz Klups,Poznan,26.02.2000,Polska,1.79,Prawy pomocnik,
672287,filip-borowski,Filip Borowski,Bydgoszcz,,Polska,1.81,Prawy pomocnik,
361575,tymoteusz-puchacz,,Sulechow,23.01.1999,Polska,1.80,Lewy pomocnik,
208469,volodymyr-kostevych,Kostevich Volodimir Ievgenovich,"Derevnya, Lviv ...",,Ukraina,1.74,Lewy pomocnik,ProStar
625634,filip-wilak,Filip Wilak,Poznan,6.08.2003,Polska,1.82,Lewy pomocnik,BMG-SPORT
555106,filip-marchwinski,Filip Marchwinski,Poznan,10.01.2002,Polska,1.87,Ofensywny pomocnik,
407098,jakub-kaminski,Jakub Kaminski,Ruda Slaska,5.06.2002,Polska,1.79,Lewy napastnik,BMG-SPORT
289167,kamil-jozwiak,Kamil Jan Jozwiak,Miedzyrzecz,22.04.1998,Polska,1.76,Lewy napastnik,
393565,michal-skoras,Michal Krzysztof Skoras,Jastrzebie-Zdroj,15.02.2000,Polska,1.72,Lewy napastnik,
187490,jan-sykora,Jan Sykora,Plzen,29.12.1993,Czechy,1.71,Lewy napastnik,
246309,dani-ramirez,Daniel Ramirez Fernandez,Leganes,18.06.1992,Hiszpania,1.75,Prawy napastnik,
460679,mohammad-awwad,mvHmd `vAd,Tamra,9.06.1997,Izrael,1.82,Cofniety napastnik,
153637,mikael-ishak,,Stockholm,31.03.1993,Szwecja,1.85,Srodkowy napastnik,
119169,aron-johannsson,,"Mobile, Alabama",10.11.1990,Stany Zjednaczone,1.84,Srodkowy napastnik,CAA Stellar
251028,nika-kacharava,nika kacharava,Nikosia,13.01.1994,Gruzja,1.98,Srodkowy napastnik,
554972,filip-szymczak,Filip Szymczak,Poznan,6.05.2002,Polska,1.87,Srodkowy napastnik,
433601,hubert-sobol,Hubert Sobol,Dobre Miasto,25.06.2000,Polska,1.83,Srodkowy napastnik,
661404,norbert-paclawski,Norbert Paclawski,Rzeszow,19.02.2004,Polska,1.80,Srodkowy napastnik,
487167,cezary-miszta,Cezary Miszta,Lukow,,Polska,1.92,Bramkarz,
385022,wojciech-muzyk,Wojciech Muzyk,Suwalki,7.11.1998,Polska,1.95,Bramkarz,
15220,artur-boruc,,Siedlce,20.02.1980,Polska,1.93,Bramkarz,
24501,radoslaw-cierzniak,Radoslaw Cierzniak,Szamocin,24.04.1983,Polska,1.87,Bramkarz,
658111,kacper-tobiasz,Kacper Tobiasz,Plock,4.11.2002,Polska,1.91,Bramkarz,
236468,artem-shabanov,Shabanov Artem Mikhailovich,Kyiv,7.03.1992,Ukraina,1.90,Srodkowy obronca,ProStar
208172,mateusz-wieteska,Mateusz Wieteska,Warszawa,11.02.1997,Polska,1.87,Srodkowy obronca,UNIDOS
89637,william-remy,William Jean Remy,Courbevoie,4.04.1991,Francja,1.86,Srodkowy obronca,
42401,artur-jedrzejczyk,Artur Jedrzejczyk,Debica,4.11.1987,Polska,1.89,Srodkowy obronca,UNIDOS
266379,mateusz-holownia,Mateusz Holownia,Biala Podlaska,6.05.1998,Polska,1.84,Srodkowy obronca,
63265,igor-lewczuk,Igor Lewczuk,Bialystok,30.05.1985,Polska,1.89,Srodkowy obronca,
554288,ariel-mosor,Ariel Mosor,Katowice,19.02.2003,Polska,1.84,Srodkowy obronca,
52161,inaki-astiz,Inaki Astiz Ventura,Pamplona,5.11.1983,Hiszpania,1.84,Srodkowy obronca,
401604,michal-karbownik,Michal Karbownik,Radom,13.03.2001,Polska,1.75,Lewy obronca,UNIDOS
168063,filip-mladenovic,Filip Mladenovitsh,Cacak,15.08.1991,Serbia,1.80,Lewy obronca,
235639,luis-rocha,Luis Augusto Martins Rocha,Vila Nova de ...,27.06.1993,Portugalia,1.77,Lewy obronca,Proeleven S.A.
362977,josip-juranovic,Josip Juranovic,Zagreb,16.08.1995,Chorwacja,1.73,Prawy obronca,
98101,marko-vesovic,Marko Veshovitsh,Podgorica,28.08.1991,Czarnogora,1.80,Prawy obronca,
235862,pawel-stolarski,Pawel Stolarski,Krakow,28.01.1996,Polska,1.81,Prawy obronca,
555110,nikodem-niski,,Warszawa,14.04.2002,Polska,1.78,Prawy obronca,UNIDOS
382429,bartosz-slisz,,Rybnik,29.03.1999,Polska,1.79,Defensywny pomocnik,FairSport
672232,jakub-kisiel,Jakub Kisiel,Wyszkow,5.02.2003,Polska,1.84,Defensywny pomocnik,INNfootball
335191,valeriane-gvilia,valerian gvilia,Zugdidi,24.05.1994,Gruzja,1.82,Srodkowy pomocnik,
246579,bartosz-kapustka,Bartosz Kapustka,Tarnow,23.12.1996,Polska,1.79,Srodkowy pomocnik,BMG-SPORT
90367,andre-martins,Andre Renato Soares Martins,Santa Maria da Feira,21.01.1990,Portugalia,1.69,Srodkowy pomocnik,Proeleven S.A.
48810,domagoj-antolic,Domagoj Antolic,Zagreb,30.06.1990,Chorwacja,1.80,Srodkowy pomocnik,
164759,pawel-wszolek,Pawel Wszolek,Tczew,30.04.1992,Polska,1.86,Prawy pomocnik,
607860,kacper-skibicki,Kacper Skibicki,Chelmno,,Polska,1.74,Prawy pomocnik,
402825,luquinhas,,Ceilandia,28.09.1996,Brazylia,1.69,Ofensywny pomocnik,
583917,ernest-muci,Ernest Muci,Tirane,19.03.2001,Albania,1.80,Ofensywny pomocnik,
175451,joel-valencia,Cesar Joel Valencia Castillo,Quininde,16.11.1994,Ekwador,1.64,Ofensywny pomocnik,
554280,radoslaw-cielemecki,Radoslaw Cielemecki,Swiebodzice,19.02.2003,Polska,1.73,Ofensywny pomocnik,
255519,mateusz-cholewiak,Mateusz Cholewiak,Krosno,5.02.1990,Polska,1.84,Lewy napastnik,
493692,jasur-yakhshiboev,Zhasur Zhumaboi ogly Iakhshiboev,Chinoz,24.06.1997,Uzbekistan,1.80,Prawy napastnik,
162819,rafa-lopes,,Esposende,28.07.1991,Portugalia,1.85,Cofniety napastnik,
38746,tomas-pekhart,Tomas Pekhart,Susice,26.05.1989,Czechy,1.94,Srodkowy napastnik,
247276,jose-kante,Jose Kante Martinez,Sabadell,27.09.1990,Gwinea,1.84,Srodkowy napastnik,
401609,maciej-rosolek,Maciej Rosolek,Siedlce,2.09.2001,Polska,1.83,Srodkowy napastnik,UNIDOS
366729,nazariy-rusyn,Rusin Nazarii Orestovich,"Novoyavorivsk, Lviv ...",,Ukraina,1.77,Srodkowy napastnik,ProStar
510459,kacper-kostorz,Kacper Kostorz,Cieszyn,21.08.1999,Polska,1.91,Srodkowy napastnik,INNfootball
